time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range
107776,1071,9.821575049999998,842,675.8,100,-0.01679880789015442,0.022714239,0.9779253005981445,-0.7992263697087765,0.30569785833358765,3364,0.001,0.11328125,1.2990891002118587,0.2
107904,1071,10.900956569999998,843,671.36,100,0.0023457231000065804,0.001537696,-0.1491103172302246,-0.6577484905719757,24.828393936157227,3368,0.001,0.0,64.0919578075409,0.2
108032,1072,10.529897519999997,844,663.24,100,-0.0005595081020146608,5.238969e-05,-0.43754851818084717,-0.4720982313156128,138.0751190185547,3372,0.001,0.0,592.4454050064087,0.2
108160,1073,10.529897519999997,845,663.24,100,-0.001297115784836933,5.5677257e-05,0.45009928941726685,-0.7219086736440659,426.3377380371094,3376,0.001,0.0,509.7048535346985,0.2
108288,1073,8.56073495,846,658.45,100,-0.0011817154008895159,0.00054134335,0.8515564203262329,-0.821578536182642,3.5991368293762207,3380,0.001,0.0,22.27351665496826,0.2
108416,1074,8.21144455,847,649.7,100,-0.0009790993644855917,0.0015951707,0.6497403383255005,-0.807881336659193,216.05026245117188,3384,0.001,0.0,331.9361000061035,0.2
108544,1075,7.58594147,848,641.37,100,-0.0017825695686042309,0.0007421486,0.751943826675415,-0.7115920186042786,92.12583923339844,3388,0.001,0.0,226.6216585636139,0.2
108672,1076,7.691213420000001,849,633.48,100,-0.0017222403548657894,0.00016584387,0.5364182591438293,-0.7147001549601555,219.47181701660156,3392,0.001,0.0,424.5000047683716,0.2
108800,1076,6.35966152,850,624.84,101,-0.0022063786746002734,0.00010926556,0.6361965537071228,-0.7848791554570198,140.56100463867188,3396,0.001,0.0,563.0124473571777,0.2
108928,1077,6.35966152,851,624.84,101,-0.0012665073154494166,0.00013985392,0.8308131694793701,-0.7604367025196552,77.29013061523438,3400,0.001,0.0,166.54695856571198,0.2
109056,1077,6.35966152,852,624.84,101,-0.0043899937300011516,0.003644411,0.8529040813446045,-0.7701676487922668,0.354356974363327,3404,0.001,0.01171875,4.07496615126729,0.2
109184,1078,10.109771069999999,853,622.16,101,-0.0026480044471099973,0.001745116,-1.128814697265625,-0.46993339993059635,74.08477020263672,3408,0.001,0.00390625,128.2737045288086,0.2
109312,1079,9.1176134,854,613.43,101,-8.432508911937475e-05,0.00021079183,0.6112164258956909,-0.7685634233057499,123.67981719970703,3412,0.001,0.0,377.4917974472046,0.2
109440,1079,9.1176134,855,613.43,101,-0.000796221662312746,0.00044890586,0.5873011350631714,-0.6965338625013828,93.00287628173828,3416,0.001,0.0,338.7199478149414,0.2
109568,1080,11.589677729999998,856,607.08,101,-0.0002696532756090164,7.0082024e-06,-1.5341615676879883,-0.6635023206472397,39.03478240966797,3420,0.001,0.0,178.09020233154297,0.2
109696,1080,11.589677729999998,857,607.08,101,-3.2604788430035114e-05,1.5180558e-06,-7.95125961303711e-05,-0.1481484342366457,179.14356994628906,3424,0.001,0.0,462.69580459594727,0.2
109824,1081,11.589677729999998,858,607.08,101,-0.006631064228713512,0.007889484,0.5085910558700562,-0.8789866156876087,2.076319694519043,3428,0.001,0.037109375,5.652385085821152,0.2
109952,1081,10.324539360000001,859,600.73,101,-0.00877332070376724,0.008793411,0.8642153143882751,-0.7830591984093189,1.0721642971038818,3432,0.001,0.05078125,4.425999194383621,0.2
110080,1082,10.324539360000001,860,600.73,101,-0.00510590267367661,0.0059022564,0.18563085794448853,-0.7406970486044884,180.56439208984375,3436,0.001,0.03125,1195.3707008361816,0.2
110208,1082,10.324539360000001,861,600.73,101,-0.006683954154141247,0.0068664104,0.8215264678001404,-0.7197032868862152,1.040668249130249,3440,0.001,0.03515625,3.209095172584057,0.2
110336,1083,11.180961649999999,862,594.79,101,-0.002616068988572806,0.0030817543,0.9395919442176819,-0.7630345299839973,0.605536162853241,3444,0.001,0.01171875,2.603076718747616,0.2
110464,1083,11.180961649999999,863,594.79,101,0.001344488700851798,0.0006321999,0.006971180438995361,-0.4312193524092436,239.39305114746094,3448,0.001,0.0,520.2188053131104,0.2
110592,1084,11.180961649999999,864,594.79,101,-0.010233668377622962,0.024237406,0.4273189306259155,-0.867422804236412,1.9124982357025146,3452,0.001,0.107421875,6.208947911858559,0.2
110720,1084,11.180961649999999,865,594.79,102,-0.011456174455815926,0.032682966,0.8602108955383301,-0.8437902368605137,0.38072970509529114,3456,0.001,0.154296875,1.9702326506376266,0.2
110848,1085,11.364890209999999,866,596.27,102,-0.018392486148513854,0.025865119,0.5191601514816284,-0.7067407295107841,15.899723052978516,3460,0.001,0.21875,56.340163707733154,0.2
110976,1085,11.364890209999999,867,596.27,102,-0.001436081132851541,0.00034925295,0.5504453182220459,-0.7358000539243221,108.76170349121094,3464,0.001,0.0,124.45454061031342,0.2
111104,1086,12.251443490000002,868,588.83,102,-0.0012229671701788902,0.000636654,-0.4790843725204468,-0.634892862290144,79.97791290283203,3468,0.001,0.0,154.72040975093842,0.2
111232,1086,12.251443490000002,869,588.83,102,-0.01187029154971242,0.0023280918,0.0524333119392395,-0.7368504330515862,4.161729335784912,3472,0.001,0.005859375,170.08961349725723,0.2
111360,1086,12.251443490000002,870,588.83,102,-0.015028329333290458,0.013253383,0.9056593179702759,-0.8276179879903793,0.156559556722641,3476,0.001,0.185546875,0.6293108705431223,0.2
111488,1086,12.251443490000002,871,588.83,102,0.0027937552076764405,0.009742372,0.8237496614456177,-0.6991438940167427,0.9354353547096252,3480,0.001,0.064453125,3.3474898263812065,0.2
111616,1086,12.251443490000002,872,588.83,102,-0.003943946561776102,0.0028733914,0.5011156797409058,-0.5653510615229607,21.20693588256836,3484,0.001,0.005859375,56.39993143081665,0.2
111744,1086,15.720015779999999,873,587.95,102,-0.0006009029457345605,0.00015744288,0.06854021549224854,-0.5156661756336689,14.546648025512695,3488,0.001,0.0,52.75314274430275,0.2
111872,1087,15.720015779999999,874,587.95,102,-0.0001721333246678114,0.00033160392,0.21674323081970215,-0.6730546206235886,202.66932678222656,3492,0.001,0.0,396.0205068588257,0.2
112000,1087,15.720015779999999,875,587.95,103,-0.008191225468181074,0.029447813,0.9211413264274597,-0.8266034461557865,0.12276480346918106,3496,0.001,0.16015625,0.5198810007423162,0.2
112128,1086,17.470396370000003,876,582.8,103,-0.006611963442992419,0.019192617,0.9325084090232849,-0.8020223416388035,0.15489938855171204,3500,0.001,0.103515625,0.9275170732289553,0.2
112256,1087,17.470396370000003,877,582.8,103,0.01076878362800926,0.015583349,0.2877650260925293,-0.7983562387526035,442.20855712890625,3504,0.001,0.115234375,1038.0219955444336,0.2
112384,1087,17.470396370000003,878,582.8,103,-0.013191640027798712,0.032433525,0.46818071603775024,-0.868538212031126,1.6931767463684082,3508,0.001,0.1796875,3.5317650362849236,0.2
112512,1088,16.34324124,879,577.28,103,-0.007357888156548142,0.015265524,0.9733852744102478,-0.8012763261795044,0.27171510457992554,3512,0.001,0.130859375,0.8617395926266909,0.2
112640,1088,16.34324124,880,577.28,103,0.005329662933945656,0.013902726,0.2598915100097656,-0.7219604961574078,239.00042724609375,3516,0.001,0.109375,527.5286264419556,0.2
112768,1089,18.090691200000002,881,577.51,103,-0.0008728067623451352,0.012949441,0.829614520072937,-0.7367242239415646,1.1107646226882935,3520,0.001,0.046875,4.820733308792114,0.2
112896,1090,18.090691200000002,882,577.51,103,-0.012084077345207334,0.005360058,0.45608943700790405,-0.7688567228615284,143.19448852539062,3524,0.001,0.03515625,475.0307140350342,0.2
113024,1090,20.190360499999997,883,574.14,103,-0.0027486695908010006,0.011695892,0.9397070407867432,-0.7802022211253643,0.7678040862083435,3528,0.001,0.052734375,2.0051420629024506,0.2
113152,1091,21.693782980000005,884,570.48,103,-0.0021425645682029426,0.0014899517,0.48505622148513794,-0.762697659432888,117.17564392089844,3532,0.001,0.0,471.7266263961792,0.2
113280,1092,21.693782980000005,885,570.48,103,-0.002223981311544776,0.00022128085,0.5667551755905151,-0.7203949689865112,308.2344665527344,3536,0.001,0.0,590.4945659637451,0.2
113408,1092,21.693782980000005,886,570.48,103,-0.0008551023784093559,0.0011102059,0.8367450833320618,-0.7465241178870201,0.5156052112579346,3540,0.001,0.0,3.6189358234405518,0.2
113536,1092,25.356259090000002,887,571.84,103,-0.0034342831932008266,0.001114097,-0.48911595344543457,-0.5548453070223331,51.47584533691406,3544,0.001,0.0,105.44496870040894,0.2
113664,1093,26.307459250000008,888,567.53,103,-0.0012685336405411363,0.00091469707,0.20745980739593506,-0.6315992251038551,227.3311004638672,3548,0.001,0.0,527.2445735931396,0.2
113792,1094,26.307459250000008,889,567.53,103,-0.0008286811644211411,0.00016411813,0.6242498755455017,-0.7319421470165253,366.077880859375,3552,0.001,0.0,793.4519166946411,0.2
113920,1094,27.437064140000004,890,561.34,104,-0.0080953324213624,0.00864345,0.9863069653511047,-0.7357815504074097,1.7792409658432007,3556,0.001,0.033203125,7.163717150688171,0.2
114048,1095,27.437064140000004,891,561.34,104,-0.009991384111344814,0.008134691,0.7552891969680786,-0.6863383017480373,128.64598083496094,3560,0.001,0.05078125,241.29006358981133,0.2
114176,1095,30.70393916,892,554.81,104,0.00012308103032410145,0.0015707961,0.9221038818359375,-0.7736103385686874,2.0918328762054443,3564,0.001,0.001953125,10.627641052007675,0.2
114304,1096,30.70393916,893,554.81,104,0.0004926459514535964,5.557062e-05,-0.16149425506591797,-0.29810515232384205,290.80596923828125,3568,0.001,0.0,625.0027103424072,0.2
114432,1096,30.70393916,894,554.81,104,-0.008284244104288518,0.023758786,0.9735059142112732,-0.8039849735796452,0.38989710807800293,3572,0.001,0.119140625,0.955534465610981,0.2
114560,1097,33.6934202,895,548.62,104,-0.0069112578057684,0.0037664482,-1.1685526371002197,-0.7169950790703297,153.4390106201172,3576,0.001,0.013671875,199.57219409942627,0.2
