time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/loss,train/n_updates,train/approx_kl
1403,227328,60.99456443,162,111,827.81,0.2,0.0,-0.0007925885496661067,46.950549030303954,0.7759907245635986,2.966399999999999e-05,-1.0319381952285767,17.264863967895508,1100,0.00036474946
1402,229376,60.99456443,163,112,827.81,0.2,0.0,-6.212153239175678e-05,118.36394882202148,0.6032910346984863,2.7206399999999994e-05,-0.9840913414955139,33.83353805541992,1110,3.6967365e-05
1400,231424,62.76184937999999,165,113,820.93,0.2,0.00224609375,-0.0028932009707205,7.56454746723175,0.8002809286117554,2.4748800000000003e-05,-0.96745435744524,4.333919525146484,1120,0.0019633216
1399,233472,64.51213598999999,166,114,826.23,0.2,0.0,-0.00016116364276967942,99.37954959869384,0.6906853914260864,2.2291200000000008e-05,-0.9831997692584992,39.370521545410156,1130,0.000115362986
1399,235520,66.07895747999999,168,115,820.92,0.2,0.0,-0.0014655517530627548,6.326653927564621,0.9438504576683044,1.9833599999999982e-05,-0.9710446432232857,2.6067657470703125,1140,0.0011178774
1400,237568,64.68110130999999,169,116,805.16,0.2,0.0,-0.00041136525105684997,49.62004823684693,0.787360429763794,1.737599999999999e-05,-0.9127850204706192,29.237905502319336,1150,0.00014467275
1400,239616,68.92467565000001,171,117,802.36,0.2,0.0,3.0490104109048843e-06,173.75659637451173,0.5654807090759277,1.4918399999999998e-05,-0.9899453788995742,93.02719116210938,1160,8.310599e-07
1400,241664,70.67110167000001,172,118,797.32,0.2,0.0,-2.2716773673892022e-05,69.50210542678833,0.7278488874435425,1.2460800000000004e-05,-1.046425399184227,27.452749252319336,1170,5.3155236e-07
1400,243712,73.67296418000001,174,119,784.56,0.2,0.0,-0.00014705052017234267,107.4925085067749,0.6763364672660828,1.0003200000000011e-05,-0.9552048861980438,66.85553741455078,1180,1.2753328e-05
1398,245760,73.93436314,175,120,779.19,0.2,0.0,-3.4490926191210745e-05,151.20532741546631,0.580223560333252,7.545599999999985e-06,-0.9131542697548867,72.60112762451172,1190,1.1785305e-06
1398,247808,73.26578864999999,177,121,782.69,0.2,0.0,-6.81766658090055e-05,59.237260699272156,0.8047977685928345,5.087999999999992e-06,-0.892092889547348,46.65827178955078,1200,3.8934813e-06
1398,249856,71.57717965,178,122,775.66,0.2,0.0,-0.00010609898017719389,60.24907164573669,0.7502378225326538,2.630399999999999e-06,-0.8729223281145095,31.39338493347168,1210,3.9952283e-06
1399,251904,71.71421073999998,180,123,772.67,0.2,0.0,2.1014129742980002e-07,57.043347406387326,0.7519674301147461,1.7280000000000626e-07,-0.9326372742652893,27.401796340942383,1220,9.895302e-10
